cluster_id,name,count,representative
0,JUNE_ASSOCIATED_EVENT,1,JUNE_ASSOCIATED_EVENT
0,SPRING_ASSOCIATED_EVENTS,1,JUNE_ASSOCIATED_EVENT
1,GROWN_IN,81,GROWN_IN
1,GROWS_IN,29,GROWN_IN
1,GROWS_DURING,9,GROWN_IN
1,GROWN_UNDER,6,GROWN_IN
1,CULTIVATED_DURING,5,GROWN_IN
1,GROWN_ON,4,GROWN_IN
1,PLANTED_UNDER,4,GROWN_IN
1,CULTIVATED,3,GROWN_IN
1,CULTIVATED_ON,3,GROWN_IN
1,GROWN_BY,3,GROWN_IN
1,GROWN_WITH,3,GROWN_IN
1,GROWS_UNDER,3,GROWN_IN
1,PLANTED_DURING,3,GROWN_IN
1,CROP_GROWN,2,GROWN_IN
1,CULTIVATED_AS,2,GROWN_IN
1,CULTIVATED_AT,2,GROWN_IN
1,CULTIVATED_BY,2,GROWN_IN
1,CULTIVATED_IN,2,GROWN_IN
1,CULTIVATED_UNTIL,2,GROWN_IN
1,CULTIVATED_USING,2,GROWN_IN
1,GROWN_FROM,2,GROWN_IN
1,GROWS_TO,2,GROWN_IN
1,PLANTED_IN_SEASON,2,GROWN_IN
1,ALLOWED_TO_GROW,1,GROWN_IN
1,CAN_BE_GROWN_AGAIN_IN,1,GROWN_IN
1,COMMONLY_GROWN_DURING,1,GROWN_IN
1,CROP_GROWN_AT,1,GROWN_IN
1,CROP_GROWN_FOR,1,GROWN_IN
1,CROP_GROWN_FROM,1,GROWN_IN
1,CROP_PLANTED,1,GROWN_IN
1,CULTIVATED_FOR,1,GROWN_IN
1,CULTIVATED_FROM,1,GROWN_IN
1,CULTIVATED_TOGETHER,1,GROWN_IN
1,CULTIVATED_USING_FORCED_CULTIVATION_METHOD,1,GROWN_IN
1,CULTIVATED_WITH,1,GROWN_IN
1,CULTIVATED_WITH_TOOL,1,GROWN_IN
1,DEVELOPS_INTO,1,GROWN_IN
1,GROWN_AROUND,1,GROWN_IN
1,GROWN_AS,1,GROWN_IN
1,GROWN_AT,1,GROWN_IN
1,GROWN_FOR,1,GROWN_IN
1,GROWN_IN.SEASON,1,GROWN_IN
1,GROWN_IN_CLOSE_PROXIMITY_TO,1,GROWN_IN
1,GROWN_IN_CONDITION,1,GROWN_IN
1,GROWN_IN_FRAMES,1,GROWN_IN
1,GROWN_IN_MONTHS_OF_THE_YEAR,1,GROWN_IN
1,GROWN_IN_SEASON,1,GROWN_IN
1,GROWN_NEAR,1,GROWN_IN
1,GROWN_SIMILARLY_TO,1,GROWN_IN
1,GROWN_TO_LENGTH,1,GROWN_IN
1,GROWN_UNDER_STRUCTURE,1,GROWN_IN
1,GROWS_AT_HEIGHT,1,GROWN_IN
1,GROWS_AT_HEIGHT_OF,1,GROWN_IN
1,GROWS_FAST,1,GROWN_IN
1,GROWS_FROM,1,GROWN_IN
1,GROWS_INTO_FRUIT,1,GROWN_IN
1,GROWS_IN_CONDITIONS_OF,1,GROWN_IN
1,GROWS_IN_SEASON,1,GROWN_IN
1,GROWS_IN_WIDTH,1,GROWN_IN
1,GROWS_ON,1,GROWN_IN
1,GROWS_TO_HEIGHT,1,GROWN_IN
1,GROWS_TO_HEIGHT_OF,1,GROWN_IN
1,HAS_CROP,1,GROWN_IN
1,IS_GROWN_FOR_FORCED_CULTIVATION,1,GROWN_IN
1,IS_GROWN_IN,1,GROWN_IN
1,NATURALLY_GROWS_IN,1,GROWN_IN
1,RAISED_WITH,1,GROWN_IN
1,SOWN_IN_SEASON_OF,1,GROWN_IN
1,USED_IN_GROWTH_OF,1,GROWN_IN
1,USED_TO_GROW,1,GROWN_IN
2,CONSISTS_OF_SOIL_AND_MANURE,1,USES_MANURE_IN
2,COVERED_WITH_MANURE,1,USES_MANURE_IN
2,MANURE_LAYERED_OVER,1,USES_MANURE_IN
2,MANURE_PREPARATION,1,USES_MANURE_IN
2,PROCESSES_MANURE_IN,1,USES_MANURE_IN
2,USES_MANURE_IN,1,USES_MANURE_IN
3,NEW_CROP_AVAILABLE,4,NEW_CROP_AVAILABLE
3,SUMMER_CROP,1,NEW_CROP_AVAILABLE
4,DIFFERENT_PLANTING_METHOD,1,SEED_HARVESTING_METHOD
4,SEED_HARVESTING_METHOD,1,SEED_HARVESTING_METHOD
5,SEED_CHARACTERISTIC,3,SEED_CHARACTERISTIC
5,CHARACTERISTIC_OF,1,SEED_CHARACTERISTIC
5,CROP_CHARACTERISTIC,1,SEED_CHARACTERISTIC
5,EXHIBITS_CHARACTERISTIC,1,SEED_CHARACTERISTIC
5,HAS_CHARACTERISTIC,1,SEED_CHARACTERISTIC
5,HAS_CHARACTERISTICS,1,SEED_CHARACTERISTIC
5,HAS_LEAF_CHARACTERISTICS,1,SEED_CHARACTERISTIC
5,HAS_SEED_CHARACTERISTICS,1,SEED_CHARACTERISTIC
5,IS_CHARACTERIZED_BY,1,SEED_CHARACTERISTIC
6,AFFECTED_BY,75,AFFECTED_BY
6,AFFECTED_BY_WEATHER_CONDITIONS,7,AFFECTED_BY
6,IS_AFFECTED_BY,7,AFFECTED_BY
6,AFFECTED_BY_WEATHER_CONDITION,5,AFFECTED_BY
6,AFFECTED_BY_WEATHER,3,AFFECTED_BY
6,CAN_BE_AFFECTED_BY,3,AFFECTED_BY
6,DISEASE_AFFECTED_BY,3,AFFECTED_BY
6,AFFECTED_BY_TEMPERATURE,2,AFFECTED_BY
6,IS_IMPACTED_BY,2,AFFECTED_BY
6,AFFECTED_BY_AGE,1,AFFECTED_BY
6,AFFECTED_BY_CONDITION,1,AFFECTED_BY
6,AFFECTED_BY_DISEASE,1,AFFECTED_BY
6,AFFECTED_BY_ENVIRONMENTAL_CONDITION,1,AFFECTED_BY
6,AFFECTED_BY_ENVIRONMENTAL_CONDITIONS,1,AFFECTED_BY
6,AFFECTED_BY_PRACTICES,1,AFFECTED_BY
6,AFFECTED_BY_ROT,1,AFFECTED_BY
6,AFFTECTED_BY_DISEASE,1,AFFECTED_BY
6,DESTROYED_BY,1,AFFECTED_BY
6,Damaged_BY,1,AFFECTED_BY
6,EFFECTED_BY,1,AFFECTED_BY
6,EFFECTED_BY_STRUCTURES,1,AFFECTED_BY
6,IMPACTED_BY,1,AFFECTED_BY
6,IS_CAUSE_OF_DAMAGE,1,AFFECTED_BY
6,POTENTIALLY_DAMAGED_BY,1,AFFECTED_BY
6,SUFFERED_FROM_CONDITION,1,AFFECTED_BY
7,AFFECTS,3,AFFECTS
7,AFFECTS_ADVANCEMENT_OF,1,AFFECTS
7,AFFECTS_CROP,1,AFFECTS
7,AFFECTS_CROP_GROWTH,1,AFFECTS
7,AFFECTS_GROWTH,1,AFFECTS
7,AFFECTS_GROWTH_OF,1,AFFECTS
7,AFFECTS_QUALITY_OF,1,AFFECTS
7,AFFECTS_THE_GROWTH_OF,1,AFFECTS
7,AFFECTS_YIELD,1,AFFECTS
7,EXERTS_EFFECT_ON,1,AFFECTS
7,URINE_AFFECTS,1,AFFECTS
8,PROTECTED_FROM,6,PROTECTED_FROM
8,IS_PROTECTED_BY,2,PROTECTED_FROM
8,PROTECTED_WITH,2,PROTECTED_FROM
8,IS_PROTECTED_FROM,1,PROTECTED_FROM
8,PROTECTED_AGAINST,1,PROTECTED_FROM
8,PROTECTED_AGAINST_WEATHER,1,PROTECTED_FROM
8,PROTECTED_BY,1,PROTECTED_FROM
8,PROTECTED_DURING,1,PROTECTED_FROM
8,PROTECTED_FROM_AIR,1,PROTECTED_FROM
8,PROTECTED_FROM_BURNING,1,PROTECTED_FROM
8,PROTECTED_FROM_BURYING,1,PROTECTED_FROM
8,PROTECTED_FROM_WEATHER_CONDITION,1,PROTECTED_FROM
8,PROTECTED_WITH_SAME_MEANS,1,PROTECTED_FROM
8,PROTECTS_FROM,1,PROTECTED_FROM
9,REQUIRES,18,REQUIRES
9,REQUIRES_EQUIPMENT,3,REQUIRES
9,REQUIRES_PROTECTION_FROM,3,REQUIRES
9,NEEDS,2,REQUIRES
9,NEED_ATTENTION,2,REQUIRES
9,-requires-relationship,1,REQUIRES
9,CONDITIONALLY_REQUIRES,1,REQUIRES
9,IS_NEEDED_FOR,1,REQUIRES
9,NEEDS_CARE_FROM,1,REQUIRES
9,NEEDS_MORE,1,REQUIRES
9,NEEDS_OPERATION,1,REQUIRES
9,NEEDS_PROTECTION,1,REQUIRES
9,REQUIRES Thickness,1,REQUIRES
9,REQUIRES_ADDITIONAL_LABOR,1,REQUIRES
9,REQUIRES_ATMOSPHERICCONDITION,1,REQUIRES
9,REQUIRES_BINDING,1,REQUIRES
9,REQUIRES_CARE,1,REQUIRES
9,REQUIRES_COVERING,1,REQUIRES
9,REQUIRES_COVERING_UNTIL,1,REQUIRES
9,REQUIRES_COVER_BEFORE_NIGHTFALL,1,REQUIRES
9,REQUIRES_INPUT,1,REQUIRES
9,REQUIRES_LABOR,1,REQUIRES
9,REQUIRES_LIGHT_MOISTURE,1,REQUIRES
9,REQUIRES_PRACTICE,1,REQUIRES
9,REQUIRES_PREVENTION_FROM,1,REQUIRES
9,REQUIRES_SHELTER_FROM,1,REQUIRES
9,REQUIRES_SPECIAL_STORAGE,1,REQUIRES
9,REQUIRES_SPECIFIC_CONDITIONS,1,REQUIRES
9,REQUIRES_SPECIFIC_TEMPERATURE,1,REQUIRES
9,REQUIRES_SUNLIGHT_PENETRATION,1,REQUIRES
9,REQUIRES_SUPPORT,1,REQUIRES
10,USED_WITH,19,USED_WITH
10,USED_FOR,10,USED_WITH
10,USED_IN,9,USED_WITH
10,USED_IN_CONJUNCTION_WITH,9,USED_WITH
10,USED_BY,6,USED_WITH
10,USED_IN_PROCESS,2,USED_WITH
10,USED_ON,2,USED_WITH
10,USED_TO_LOAD,2,USED_WITH
10,USES,2,USED_WITH
10,APPLIED_AT,1,USED_WITH
10,APPLIED_IN,1,USED_WITH
10,APPLIED_TO,1,USED_WITH
10,USED_AS,1,USED_WITH
10,USED_AS_MATERIAL_FOR,1,USED_WITH
10,USED_DURING,1,USED_WITH
10,USED_FOR_BEATING,1,USED_WITH
10,USED_FOR_COOKING,1,USED_WITH
10,USED_FOR_CUTTING,1,USED_WITH
10,USED_FOR_TRANSPORTATION,1,USED_WITH
10,USED_FOR_TYING,1,USED_WITH
10,USED_IN_CONSTRUCTION_OF,1,USED_WITH
10,USED_IN_LAYER,1,USED_WITH
10,USED_IN_METHOD,1,USED_WITH
10,USED_IN_PRACTICE,1,USED_WITH
10,USED_TO_SEW,1,USED_WITH
10,USED_WITH_PRACTICE,1,USED_WITH
10,USES_FOR_WORK,1,USED_WITH
11,HAS_VARIETY,6,HAS_VARIETY
11,HAS_COMPONENT,5,HAS_VARIETY
11,CONTAINS_SPECIES,2,HAS_VARIETY
11,CONTAINS_VARIETIES,2,HAS_VARIETY
11,HAS_COMPONENTS,1,HAS_VARIETY
11,HAS_GROWTH_PATTERN,1,HAS_VARIETY
11,HAS_PART,1,HAS_VARIETY
11,HAS_PARTS,1,HAS_VARIETY
11,HAS_PATTERN,1,HAS_VARIETY
11,HAS_SHAPE,1,HAS_VARIETY
11,HAS_SPECIES,1,HAS_VARIETY
11,HAS_VARIETIES,1,HAS_VARIETY
11,HAVE_COMPONENT,1,HAS_VARIETY
12,AFFECTED_BY_FROST,1,AFFECTED_BY_SNOW
12,AFFECTED_BY_SNOW,1,AFFECTED_BY_SNOW
12,IMPACTED_BY_ICE_ACCUMULATION,1,AFFECTED_BY_SNOW
12,REQUIRES_SHELTERING_WITH_BEDDING_UNDER_FROST,1,AFFECTED_BY_SNOW
12,SENSITIVE_TO_FROST,1,AFFECTED_BY_SNOW
13,HAS_CROSSBEAM_CONNECTING_TIMBERS,1,HAS_TIMBER_SUPPORTS
13,HAS_TIMBER_SUPPORTS,1,HAS_TIMBER_SUPPORTS
14,IRRIGATION_METHOD,2,IRRIGATION_METHOD
14,USED_AS_FERTILIZER,2,IRRIGATION_METHOD
14,CAN_BE_IRRIGATED_WITH,1,IRRIGATION_METHOD
14,IRRIGATED_WITH,1,IRRIGATION_METHOD
14,IRRIGATION_USED_IN_PRACTICE,1,IRRIGATION_METHOD
14,TOOL_USED_FOR_PLANTING,1,IRRIGATION_METHOD
14,TREATED_WITH_IRRIGATION_METHOD,1,IRRIGATION_METHOD
14,USED_AS_EQUIPMENT_IN_CULTIVATION,1,IRRIGATION_METHOD
14,USED_FOR_PLANTING,1,IRRIGATION_METHOD
14,USED_IN_PLANTING,1,IRRIGATION_METHOD
14,USES_AS_FERTILIZER,1,IRRIGATION_METHOD
15,IS_TYPE_OF,9,IS_TYPE_OF
15,CATEGORY_OF,2,IS_TYPE_OF
16,IS_PICKED_FROM,1,SELECTED_FROM
16,PICKED_AT_SEASON_START,1,SELECTED_FROM
16,PICKED_AT_SIZE,1,SELECTED_FROM
16,SELECTED_BASED_ON_SHAPE,1,SELECTED_FROM
16,SELECTED_FOR_CONSUMPTION,1,SELECTED_FROM
16,SELECTED_FROM,1,SELECTED_FROM
17,SUPPORTED_BY,3,SUPPORTED_BY
17,CONTRIBUTED_TO,1,SUPPORTED_BY
17,ENCOURAGED_TO_CONTRIBUTE,1,SUPPORTED_BY
17,HELPED_BY,1,SUPPORTED_BY
18,COVERED_WITH,37,COVERED_WITH
18,COVERED_BY,2,COVERED_WITH
18,IS_COVERED_WITH,2,COVERED_WITH
18,COVERED_FOR,1,COVERED_WITH
18,COVERED_FROM,1,COVERED_WITH
18,COVERED_IN,1,COVERED_WITH
18,COVERED_WITH_AT_NIGHT,1,COVERED_WITH
18,COVERED_WITH_SOIL,1,COVERED_WITH
18,COVERS_WITH,1,COVERED_WITH
18,FILLED_WITH,1,COVERED_WITH
18,FILLED_WITH_SOIL,1,COVERED_WITH
18,SURROUNDED_BY,1,COVERED_WITH
19,SOWN_IN,12,SOWN_IN
19,CAN_BE_SOWN_IN,3,SOWN_IN
19,SOWED_IN,2,SOWN_IN
19,SOWN_AT,2,SOWN_IN
19,ARE_SOWN,1,SOWN_IN
19,GOES_TO_SEED,1,SOWN_IN
19,IS_SOWN_AND_PLANTED_THROUGHOUT,1,SOWN_IN
19,IS_SOWN_IN,1,SOWN_IN
19,SET_SEED_IN,1,SOWN_IN
19,SOWED_ON,1,SOWN_IN
19,SOWN,1,SOWN_IN
19,SOWN_AT_TIME_OF_YEAR,1,SOWN_IN
19,SOWN_ON,1,SOWN_IN
20,SPRING_CHERVIL_CULTIVATED_WITH,1,WINTER_CHERVIL_SOWN_IN
20,WINTER_CHERVIL_HARVESTED_IN,1,WINTER_CHERVIL_SOWN_IN
20,WINTER_CHERVIL_SOWN_IN,1,WINTER_CHERVIL_SOWN_IN
20,WINTER_CHERVIL_WITHSTANDS,1,WINTER_CHERVIL_SOWN_IN
21,HAS_GROWTH_STAGE,12,HAS_GROWTH_STAGE
21,GROWTH_STAGE,4,HAS_GROWTH_STAGE
21,GROWTH_STAGE_OF,2,HAS_GROWTH_STAGE
21,GROWTH_STAGE_RELATED_TO_GROWTH_STAGE,2,HAS_GROWTH_STAGE
21,GROWTH_STAGE_TRANSITION,2,HAS_GROWTH_STAGE
21,CROP_GROWTH_STAGE_TRANSITION,1,HAS_GROWTH_STAGE
21,GROWN_IN.STAGE,1,HAS_GROWTH_STAGE
21,GROWTH_STAGE_IS_REACHED_ON,1,HAS_GROWTH_STAGE
21,GROWTH_STAGE_OCCURS_AFTER,1,HAS_GROWTH_STAGE
21,GROWTH_STAGE_TRANSITION_ON,1,HAS_GROWTH_STAGE
21,HAS_GROWTH_STAGE_RELATIONSHIP_WITH,1,HAS_GROWTH_STAGE
21,PLANT_GROWTH_STAGE_PRECEDES_PLANT_GROWTH_STAGE,1,HAS_GROWTH_STAGE
