cluster_id,representative_llm,representative_llm_free,representative,total_count,members
13,PLANTED_IN,PLANTED_IN,PLANTED_IN,408,143
0,AFFECTED_BY,AFFECTED_BY,AFFECTED_BY,149,51
4,LOCATED_IN,LOCATED_NEARBY_OR_CONTAINED_IN,RELATES_TO,100,64
6,USES,USES_OR_EQUIPPED_WITH,USES_EQUIPMENT,74,35
7,WATERED_WITH,WATERING_RELATION,TREATED_WITH,59,35
28,CONTAINS,CONTAINS_OR_HAS_PART,CONTAINS,56,38
2,COVERED_WITH,COVERED_WITH,COVERED_WITH,56,23
5,REQUIRES,REQUIRES_SOMETHING,REQUIRES,41,34
70,VARIETY_OF,VARIETY_OF,VARIETY_OF,39,12
57,GROWTH_STAGE,GROWTH_STAGE_RELATIONSHIP,HAS_GROWTH_STAGE,25,14
49,PROTECTED_BY,PROTECTION_RELATION,PROTECTED_FROM,23,12
69,TRANSPLANTED_TO,TRANSPLANTED_TO_OR_FROM,TRANSPLANTED_TO,19,10
23,AFFECTED_BY_RELATIONSHIP,RELATIONSHIP_TYPE_AFFECTED_BY,AFFECTED_BY_RELATIONSHIP,15,6
10,SIMILAR_TO,SIMILARITY_RELATION,SIMILAR_TO,14,12
62,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,12,4
78,SOIL_CONDITION_AFFECTS_CROP_GROWTH,SOIL_CONDITION_RELATIONSHIP,SOIL_TYPE_IN,12,12
141,CROP_PLANTING_RELATIONSHIP,CROP_FARMING_PRACTICE_RELATIONSHIP,CROP_PLANTING_RELATIONSHIP,12,7
19,SEED_CHARACTERISTIC,SEED_CHARACTERISTICS,SEEDLINGS_WERE_THINNED_OUT,11,8
38,PROTECTED_FROM_FROST,PROTECTED_FROM_FROST,WARMED_UP_IN_WINTER,11,9
44,MANURE_PREPARATION,MANURE_HANDLING,USES_MANURE_IN,11,11
112,DIFFERS_FROM,DIFFERS_FROM,DIFFERS_FROM,11,7
68,PRODUCES_SEEDS,PRODUCES_FRUIT,PRODUCES_SEEDS,10,9
56,RECIPIENT_OF,RECEIVES_RECOGNITION_OR_SUPPORT,IS_PRIZED_FOR_EARLINESS,9,8
34,PUBLISHED_BY,CREATED_BY,AUTHORED_BY,9,7
48,SPREADS_TO,SPREAD_RELATION,SPREAD_WITH,8,7
35,EMPLOYED_IN_MARKET_GARDENING,MARKET_GARDENING,EMPLOYED_IN_MARKET_GARDENING,7,7
39,ALTERNATIVELY_PREFFERED_FOR,PREFERRED_FOR,PREFERRED_BY,7,7
63,ABSORBS_HEAT_FROM,HEATING_RELATIONSHIP,IS_HEATED,7,7
14,CUTTING_METHOD,CUTTING_RELATED,CUT_ABOVE_LEAF,7,6
90,SEED_COLLECTION_METHOD,SEED_ACQUISITION_METHOD,SEED_COLLECTION_METHOD,6,5
61,REPLACES,ALTERNATIVENESS,REPLACED,6,6
43,MATURITY_TIME_IN_MONTHS,MATURATION_PERIOD,MATURITY_TIME_IN_MONTHS,6,3
41,REMOVED_WHEN_NO_LONGER_NEEDED,REMOVED_FOR_MAINTENANCE_OR_CONTROL,REMOVE_COTYLEDONS,6,6
72,OCCURS_WITHIN_LOCATION,CO_OCCURRENCE,UNDERGOES,6,5
76,ISSENSITIVE_TO,IS_SENSITIVE_TO,IS_PRONE_TO,5,5
15,RECOMMENDED_PLANTING_PRACTICE,PLANTING_RECOMMENDATIONS,FERTILIZER_RECOMMENDATION,5,5
64,COMPANION_CROP,CROP_TYPE,SUMMER_CROP,5,5
22,PRUNED_WITH,PRUNING_RELATION,PRUNED_WITH,5,5
55,LOCATION_ASSOCIATION,ASSOCIATED_WITH_LOCATION_OR_STRUCTURE,LAND_AND_RELATION,5,5
82,HAS_COST,HAS_FINANCIAL_COST,HAS_COST,5,3
31,PROBED_AT_TIME_PERIOD,TIME_PERIOD_RELATIONSHIP,PROBED_AT_TIME_PERIOD,4,4
25,RIPE_DATE,RIPENING_TIME,RIPENS_IN,4,4
1,WATERED_EVERY_X_DAYS_IN_CONDITION_Y,RECURRING_MAINTENANCE_SCHEDULE,WATERED_EVERY_X_DAYS_IN_CONDITION_Y,4,3
9,MEASURED_BY_AREA_OR_VOLUME,MEASURED_OR_MONITORED_FOR_SIZE_OR_STATE,MEASURED_BY_DISTANCE,4,4
71,FRAME_SUPPORTS,FRAME_RELATIONSHIP,FRAME_SUPPORTS,4,2
125,FOLLOWED_BY,SEQUENCE_RELATIONSHIP,FOLLOWED_BY,4,4
137,LETTUCE_GROWTH_STAGE,LETTUCE_CHARACTERISTICS,LETTUCE_GROWTH_STAGE,4,3
