cluster_id,representative_llm,representative_llm_free,representative,total_count,members
12,PLANTED_IN,PLANTING_RELATIONSHIP,PLANTED_IN,567,196
14,CAN_BE_AFFECTED_BY,AFFECTED_BY,CAN_BE_AFFECTED_BY,171,54
4,USED_WITH,UTILIZED_IN_CONTEXT_OF,USED_WITH,97,42
11,IS_COVERED_WITH,ASSOCIATED_WITH,IS_COVERED_WITH,74,25
63,REQUIRES,REQUIREMENT,REQUIRES,72,46
16,IS_RELATED_TO,ASSOCIATED_WITH,IS_RELATED_TO,70,30
17,IS_LOCATED_IN,CONTAINMENT_LOCATION,IS_LOCATED_IN,60,30
40,CONTAINS,CONTAINMENT,CONTAINS,58,35
5,WATERED_WITH,IRRIGATION_RELATION,WATERED_WITH,50,36
32,CROP_VARIETY,CROP_CHARACTERISTIC,CROP_TYPE,35,16
150,HAS_GROWTH_STAGE,GROWTH_STAGE_RELATION,HAS_GROWTH_STAGE,32,14
42,TREATED_WITH,TREATED_BY,TREATED_WITH,28,7
13,SOIL_TYPE_RELATIONSHIP,SOIL_RELATIONSHIP,SOIL_TYPE_FOR_CROP,28,26
76,TRANSPLANTED_TO,TRANSPLANTATION_EVENT,CONTINUE_TO_BE_TRANSPLANTED,23,14
37,PROTECTED_AGAINST,PROTECTION_RELATION,IS_PROTECTED_FROM,22,13
39,EXPOSED_TO,HEAT_TRANSFER_RELATIONSHIP,ARE_WARMED_UP_FROM_MONTH,20,19
41,IS_REPLACED_BY,ALTERNATIVE_OR_REPLACEMENT,IS_REPLACED_BY,18,12
73,PICKED_AND_READY,PREPARATION_STATUS,PICKED_AND_READY,18,16
9,DIFFERS_FROM,DIFFERS_FROM_ENTITY,DIFFERS_IN_RUNNIG_FROM,17,13
18,RAISED_ON,ELEVATED_BY,RAISED_ON,17,15
3,CUT_AT,PRUNE_RELATION,CUT_AT,17,16
83,SIMILAR_TO,SIMILARITY_RELATIONSHIP,SAME_SPECIES_AS,17,13
2,DERIVED_FROM,SOURCE_OF_ORIGINS,MADE_FROM,17,12
81,IS_A_VARIETY_OF,VARIATION_OF,IS_A_VARIETY_OF,16,4
29,REMOVED_FROM,REMOVAL_RELATION,REMOVED_FROM,16,12
25,HAS_COST,HAS_MONETARY_VALUE,PRICED_AT,14,6
