cluster_id,representative_llm,representative_llm_free,representative,total_count,members
0,PLANTED_IN,PLANTING_RELATIONSHIP,PLANTED_IN,787,436
3,CROP_VARIETY,CROP_CHARACTERISTICS,CROP_TYPE,40,28
4,GROWTH_STAGE_OF,PLANT_DEVELOPMENT_PHASE,SEASONAL_ASSOCIATION,28,21
7,CROP_GROWTH_STAGE_RELATIONSHIP,ENTITY_ASSOCIATIONS,PEOPLE_RELATIONSHIPS,14,12
15,CORE_REMOVED_TO_PRESERVE,REMOVAL_INVOLVED,REDUCED_TO,14,14
17,REPLACED_BY,REPLACEMENT_RELATIONSHIP,TRANSPLANTED_UNDER,11,7
6,PRODUCES,PRODUCES_FRUIT,PRODUCES,11,9
20,GREY_ROMAINE_IS_PLANTED_IN,GREY_ROMAINE_CULTIVATION,GREY_ROMAINE_IS_PLANTED_IN,7,6
32,LAND_PRICE_AT,PROPERTY_VALUE_AT,LAND_PRICE_AT,6,4
1,COVERED_AT_GROUND_LEVEL_WITH_AT_TIME_OF_HEAVY_FROSTS,GROUND_COVER_BEHAVIOR,DOES_NOT_BREAK_UP_IF_TOO_HARD_OR_COMPACT,4,4
28,MANURE_APPLIED_ONTO,MANURE_APPLICATION,MANURE_APPLIED_ONTO,4,4
5,TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,RADISH_CHARACTERISTICS,TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,4,3
12,MARKET_GARDENER_ROLE,MARKET_GARDENING_CONTEXT,MARKET_GARDENER_ROLE,4,4
14,SEED_COVER_METHOD,SEED_CHARACTERISTICS,SEED_COVER_METHOD,4,4
10,REQUIRES_MORE_HUMAN_RESOURCES_THAN,RESOURCE_CONSTRAINTS,REQUIRES_MORE_HUMAN_RESOURCES_THAN,4,3
36,MASTER_OF,MASTER_SLAVE_RELATIONSHIP,MASTER_OF,4,2
2,DEGENERATESINTO,TERMINATED_ON,ROUTED_ONTEENS,3,3
8,FOUNDED_PRIZE,RELATES_TO_ESTABLISHMENT,FOUNDED_PRIZE,3,3
22,MANNES_CONTAIN,MANNES_RELATIONSHIP,MANNES_CONTAIN,3,2
27,LATER_THAN_YORK_CABBAGE,LATER_THAN_CABBAGE_VARIETY,LATER_THAN_YORK_CABBAGE,3,3
34,LETTUCE_PLANTING_REQUIREMENTS,LETTUCE_CULTIVATION_CONTEXT,LETTUCE_GROWTH_LOCATION,3,3
13,CHERVIL_CUT_AND_SOLD_IN,CHERVIL_TIMING,WINTER_CHERVIL_SOWN_IN,2,2
11,CHILDREN_FOLLOW_IN_PARENT_PROFESSION,FAMILY_OCCUPATIONAL_TIES,CHILDREN_FOLLOW_IN_PARENT_PROFESSION,2,2
9,HOE_USED_FOR_EDGE,EDGE_REMOVAL_METHOD,HOE_USED_FOR_EDGE,2,2
30,ADOS_BOUND_BY_STRING,DEFINED_BY_STRING,ADOS_BOUND_BY_STRING,2,2
16,BELL_MARKED_AT,BELL_RELATED,BELL_MARKED_AT,2,2
21,INPUT_SOURCE,INPUT_ORIGIN,INPUT_SOURCE,1,1
19,STRAW_PLUGS_USE_FOR,CONTAINMENT_METHOD,STRAW_PLUGS_USE_FOR,1,1
18,LEAF_SHAPE_DIFFERENCE,MORPHOLOGICAL_VARIATION,LEAF_SHAPE_DIFFERENCE,1,1
23,RELIGIOUS_CEREMONY_ATTENDED_BY,ATTENDEE_OF_EVENT,RELIGIOUS_CEREMONY_ATTENDED_BY,1,1
29,BELONGS_TO_THE_CRUCIFEROUS_FAMILY,PLANT_FAMILY_RELATIONSHIP,BELONGS_TO_THE_CRUCIFEROUS_FAMILY,1,1
26,SAVINGS_BANK_DEPOSITOR,ACCOUNT_HOLDER,SAVINGS_BANK_DEPOSITOR,1,1
24,IMROVES_SOIL_CONDITION,ENHANCES_ENVIRONMENTAL_QUALITY,IMROVES_SOIL_CONDITION,1,1
25,OPENED_COMPETITION,COMPETITION_STATUS,OPENED_COMPETITION,1,1
33,FEARLESS_OF,UNAFRAID_OF,FEARLESS_OF,1,1
31,THICKNESS_OF_SOLILAYER,SOLILAYER_CHARACTERISTIC,THICKNESS_OF_SOLILAYER,1,1
35,SETUP_FRAMEWORK,CONFIGURE_INFRASTRUCTURE,SETUP_FRAMEWORK,1,1
37,COIFFEEED_IN,CAFFEINATED,COIFFEEED_IN,1,1
