cluster_id,representative_llm,representative_llm_free,representative,total_count,members
400,PLANTED_IN,LOCATION_OF_PLANTING,PLANTED_IN,100,1
557,GROWN_IN,ORIGINATED_FROM,GROWN_IN,81,1
1130,AFFECTED_BY,AFFECTS,AFFECTED_BY,75,1
1124,COVERED_WITH,COVERING_RELATIONSHIP,COVERED_WITH,37,1
464,GROWS_IN,LOCATION_OF_GROWTH,GROWS_IN,29,1
107,TREATED_WITH,TREATMENT_RELATIONSHIP,TREATED_WITH,20,1
67,USED_WITH,USED_IN_CONTEXT_OF,USED_WITH,19,1
452,REQUIRES,DEPENDENCY_RELATIONSHIP,REQUIRES,18,1
487,MENTIONED_ALONGSIDE,MENTIONED_WITH,MENTIONED_ALONGSIDE,15,1
240,RELATED_TO,ASSOCIATED_WITH,RELATED_TO,13,1
1004,HARVESTED_FROM,SOURCE_OF_ORIGIN,HARVESTED_FROM,13,1
17,HARVESTED_IN,HARVESTED_FROM,HARVESTED_IN,12,2
1032,HAS_GROWTH_STAGE,HAS_DEVELOPMENTAL_STAGE,HAS_GROWTH_STAGE,12,1
243,PLANTED_WITH,PLANTING_METHOD,PLANTED_WITH,12,1
842,LOCATED_IN,CONTAINMENT_RELATIONSHIP,LOCATED_IN,12,1
278,SOWN_IN,PLANTED,SOWN_IN,12,1
371,PLANTED_AFTER,PLANTING_RELATIONSHIP,PLANTED_AFTER,10,1
253,USED_FOR,PURPOSE,USED_FOR,10,1
916,IS_VARIETY_OF,IS_TYPE_OF,IS_VARIETY_OF,10,1
65,USED_IN,CONTAINS_OR_USES,USED_IN,9,1
62,USED_IN_CONJUNCTION_WITH,USED_WITH,USED_IN_CONJUNCTION_WITH,9,1
838,GROWS_DURING,GROWTH_PHASE,GROWS_DURING,9,1
990,CONTAINS,CONTAINMENT,CONTAINS,9,1
324,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,9,1
1022,PLANTED_IN_MONTH,PLANTING_TIME,PLANTED_IN_MONTH,8,1
564,IS_AFFECTED_BY,AFFECTED_BY,IS_AFFECTED_BY,7,1
622,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_WEATHER,AFFECTED_BY_WEATHER_CONDITIONS,7,1
727,AVAILABLE_IN,AVAILABLE_AT_LOCATION,AVAILABLE_IN,7,1
3,IS_PART_OF,PART_OF,IS_PART_OF,7,2
5,PROTECTED_FROM,PROTECTED_FROM_RELATION,PROTECTED_FROM,7,2
524,HAS_VARIETY,HAS_TYPE_OR_VARIETY,HAS_VARIETY,6,1
517,PLANTED_AT,LOCATION_OF_ORIGIN,PLANTED_AT,6,1
807,CONTINUE_TO_BE_TRANSPLANTED,CONTINUE_TRANSPLANTATION,CONTINUE_TO_BE_TRANSPLANTED,6,1
9,REPLACED_BY,REPLACEMENT_OF,REPLACED_BY,6,2
1042,GROWN_UNDER,GROWN_IN_ENVIRONMENT,GROWN_UNDER,6,1
466,PLACED_IN,CONTAINED_IN,PLACED_IN,6,1
247,USED_BY,DEPENDENCY,USED_BY,6,1
651,CROP_TYPE,CROP_INFORMATION,CROP_TYPE,6,1
856,CROP_VARIETY,CROP_TYPE,CROP_VARIETY,6,1
638,MANNES_CONTAIN,CONTAINS_MALE,MANNES_CONTAIN,6,1
1096,HAS_COMPONENT,HAS_PART,HAS_COMPONENT,5,1
935,CULTIVATED_DURING,CULTIVATION_TIME,CULTIVATED_DURING,5,1
1074,HARVESTED_AT,HARVEST_TIME,HARVESTED_AT,5,1
1000,PLANTED_ON,LOCATION_RELATIONSHIP,PLANTED_ON,5,1
972,ASSOCIATED_WITH,ASSOCIATION,ASSOCIATED_WITH,5,1
1106,AFFECTED_BY_WEATHER_CONDITION,AFFECTED_BY_WEATHER,AFFECTED_BY_WEATHER_CONDITION,5,1
1030,PEST_AFFECTED_BY,PEST_AFFECTS,PEST_AFFECTED_BY,5,1
690,PEST_AFFECTS_CROP,PEST_HARMFUL_TO_CROP,PEST_AFFECTS_CROP,5,1
1034,PLANTED_ALONGSIDE,PLACED_NEARBY,PLANTED_ALONGSIDE,5,1
418,STORED_IN,CONTAINMENT,STORED_IN,5,1
495,PRICED_AT,HAS_PRICE,PRICED_AT,5,1
13,EQUIPPED_WITH,EQUIPPED_WITH,EQUIPPED_WITH,5,2
876,FOLLOWS_LAYERS,FOLLOWS_IN_ORDER,FOLLOWS_LAYERS,5,1
366,NEW_CROP_AVAILABLE,NEW_ITEM_AVAILABLE,NEW_CROP_AVAILABLE,4,1
30,WATERED_WITH,IRRIGATED_BY,WATERED_WITH,4,1
391,PLANTED_UNDER,LOCATED_UNDER,PLANTED_UNDER,4,1
917,CROP_VARIETY_RELATED_TO_CROP,CROP_VARIETY_RELATIONSHIP,CROP_VARIETY_RELATED_TO_CROP,4,1
7,SOWN_IN_MONTH,SOWN_IN_MONTH,ARE_SOWN_IN_MONTH,4,3
1123,GROWTH_STAGE,DEVELOPMENT_PHASE,GROWTH_STAGE,4,1
503,RELATES_TO,ASSOCIATED_WITH,RELATES_TO,4,1
399,MIXED_WITH,COMBINED_WITH,MIXED_WITH,4,1
536,INTERPLANTED_WITH,COLOCATED_WITH,INTERPLANTED_WITH,4,1
159,PLACED_ON,LOCATED_AT,PLACED_ON,4,1
658,DIFFERS_IN_RUNNIG_FROM,DIFFERS_FROM,DIFFERS_IN_RUNNIG_FROM,4,1
970,GROWN_ON,ORIGINATED_FROM,GROWN_ON,4,1
79,PLANTED_IN_NOVEMBER,PLANTING_MONTH,PLANTED_IN_NOVEMBER,4,1
314,IS_NOT_GROWN,NOT_GROWN,IS_NOT_GROWN,3,1
196,REQUIRES_EQUIPMENT,REQUIRES_EQUIPMENT,REQUIRES_EQUIPMENT,3,1
87,TIME_OF_HARVESTING_RELATIONSHIP,HARVEST_TIME,TIME_OF_HARVESTING_RELATIONSHIP,3,1
1103,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,GROWS_IN_LOCATION,IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,3,1
81,SUPPORTED_BY,SUPPORTED_BY,SUPPORTED_BY,3,1
908,PLANTED_DURING,PLANTING_TIME,PLANTED_DURING,3,1
70,TREATED_WITH_RELATIONSHIP,TREATMENT_RELATIONSHIP,TREATED_WITH_RELATIONSHIP,3,1
1118,CAN_BE_SOWN_IN,PLANTABLE_IN,CAN_BE_SOWN_IN,3,1
1002,GROWN_BY,GROWN_FROM,GROWN_BY,3,1
