cluster_id,representative_llm,representative_llm_free,representative,total_count,members
2,AFFECTED_BY,AFFECTED_BY,AFFECTED_BY,692,398
0,GROWN_IN,CROP_GROWTH_RELATIONSHIP,PLANTED_IN,577,260
5,REQUIRES,REQUIRES_SOMETHING,REQUIRES,50,42
13,AFFECTED_BY_RELATIONSHIP,ASSOCIATIVE_RELATIONSHIP,AFFECTED_BY_RELATIONSHIP,25,16
14,PRUNED_FOR_HEALTH,PLANT_PRUNING_REMOVAL,CUT_ABOVE_LEAF,22,21
16,MANURE_PREPARATION,MANURE_HANDLING,USES_MANURE_IN,13,13
22,EMPLOYED_IN_MARKET_GARDENING,MARKET_GARDENING,EMPLOYED_IN_MARKET_GARDENING,10,10
3,TIME_PERIOD_ASSOCIATION,TIMEFRAME_RELATION,FRAME_SUPPORTS,8,6
4,REQUIRES_MORE_HUMAN_RESOURCES_THAN,COMPARES_TO_ANOTHER_ENTITY_IN_QUALITY_OR_TIMELINE,REQUIRES_MORE_HUMAN_RESOURCES_THAN,8,7
8,ALTERNATIVE_MATERIAL,ALTERNATE_OR_REPLACE,REPLACED,7,7
7,RIPE_DATE,RIPENING_CHARACTERISTICS,RIPENS_IN,6,6
10,BRINGS_BACK,RESTORE,MOVE_BACK,5,5
9,BLACK_RADISH_DOES_NOT_GO_TO_SEED_IN_SAME_YEAR,RADISH_CHARACTERISTICS,TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,5,5
34,COUCHED_IN,BED_CHARACTERISTICS,COUCHED_IN,4,4
1,PERSIL_GROWS_INTO,SEASONAL_PLANTING_TIME,PERSIL_GROWS_INTO,4,4
6,SEASONAL_AVAILABILITY,SEASONAL_ASSOCIATION,GATHERS_AT,4,4
30,BED_PREPARATION_TECHNIQUE,PREPARATION_METHOD,PATH_PREPARATION_DEPTH,3,3
36,BURIED_WITH,BURIED_WITH,BURIED_WITH,3,3
24,BREAK_UP_LAYER,LAYER_MANIPULATION,BREAK_UP_LAYER,3,3
11,GREEN_ROMAINE_WAS_ADVERSELY_AFFECTED_BY,ROMAINE_LETTUCE_CULTIVATION_LOCATION,GREY_ROMAINE_WAS_SOWN_AND_PLANTED_IN,3,3
12,MANNES_CONTAIN,MANNES_RELATIONSHIP,MANNES_CONTAIN,3,2
29,SEED_STORAGE_LIFETIME,SEED_VIABILITY_PERIOD,SEED_STORAGE_LIFETIME,3,2
18,CAULIFLOWER_IS_ADVERSELY_AFFECTED_BY,CAULIFLOWER_CULTIVATION_AND_HANDLING,CAULIFLOWER_WAS_PLANTED_IN,3,3
19,ASSEMBLES_CHEST_ON_PATHS,PATH_CONSTRUCTION,FILL_PATH_WITH,2,2
38,ADOS_CONSTRUCTED_WITH,ADOS_RELATIONSHIP_TO_DIRECTION,ADOS_CONSTRUCTED_WITH,2,2
17,ACQUIRED_QUALITY,QUALITY_RELATIONSHIP,ACQUIRED_QUALITY,2,2
33,DOORMAT_CONSTRUCTION,DOORMAT_ASSEMBLY,DOORMAT_TIGHTENING,2,2
15,SPECIFIES_DEPTH_MEASUREMENT,MEASURED_DEPTH_RELATIONSHIP,HAS_ROOT_DEPTH_REACHING,2,2
21,ESTABLISHED_FOR_ESPALIERS_OF,ESTABLISH_ESPALIER_FOR,ESTABLISHED_FOR_ESPALIERS_OF,2,2
44,AIMED_AT_PRODUCING_MANUAL_FOR,AIMED_AT_PRODUCING_RESOURCE_FOR,AIMED_AT_PRODUCING_MANUAL_FOR,1,1
27,ASPARAGUS_VARIEY_GROWN_IN_GREENHOUSE,GROWN_IN_GREENHOUSE,ASPARAGUS_VARIEY_GROWN_IN_GREENHOUSE,1,1
31,CANBEPRUNED,PRUNEABILITY,CANBEPRUNED,1,1
41,BELL_MARKED_AT,MARKED_AT,BELL_MARKED_AT,1,1
48,CULTIVATEDON_SOUTH_COAST,GROWS_IN_REGION,CULTIVATEDON_SOUTH_COAST,1,1
47,COIFFEE,COFFEE,COIFFEE,1,1
35,FOUNDED_PRIZE,AWARDED_PRIZE,FOUNDED_PRIZE,1,1
25,FEARLESS_OF,FEARLESSNESS,FEARLESS_OF,1,1
