cluster_id,representative_llm,representative_llm_free,representative,total_count,members
17,PLANTED_IN,PLANTED_AT_OR_IN,PLANTED_IN,126,12
71,IS_GROWN_IN,GROWN_IN_OR_ON,IS_GROWN_IN,98,11
135,CAN_BE_AFFECTED_BY,AFFECTED_BY,CAN_BE_AFFECTED_BY,90,4
21,USED_WITH,USED_WITH_SOMETHING,USED_WITH,57,8
94,IS_COVERED_WITH,COVERS,IS_COVERED_WITH,45,6
39,HARVESTED_FROM,HARVESTING_RELATION,HARVESTED_FROM,43,16
3,GROWS_IN,GROWS_IN,GROWS_IN,39,8
510,IS_RELATED_TO,IS_RELATED_TO,IS_RELATED_TO,25,3
280,CAN_BE_SOWN_IN,SOWN_IN,CAN_BE_SOWN_IN,24,6
23,CAN_BE_PLANTED_IN_MONTH,PLANTED_IN_MONTH,CAN_BE_PLANTED_IN_MONTH,22,7
19,CULTIVATED,CULTIVATION_RELATION,CULTIVATED,21,12
107,TREATED_WITH,TREATED_WITH,TREATED_WITH,21,2
42,REQUIRES,REQUIRES_RELATIONSHIP,REQUIRES,21,4
26,HAS_GROWTH_STAGE,HAS_GROWTH_STAGE,HAS_GROWTH_STAGE,20,4
250,AFFECTED_BY_WEATHER_CONDITIONS,AFFECTED_BY_CONDITION,AFFECTED_BY_WEATHER_CONDITIONS,19,7
24,MENTIONED_ALONGSIDE,MENTIONED_WITH,MENTIONED_ALONGSIDE,17,3
12,IS_LOCATED_IN,LOCATION_OF,IS_LOCATED_IN,17,3
80,IS_PROTECTED_FROM,PROTECTION_RELATION,IS_PROTECTED_FROM,15,6
29,IS_A_VARIETY_OF,VARIETY_OF,IS_A_VARIETY_OF,14,2
67,PLANTED_WITH,PLANTED_WITH,PLANTED_WITH,14,3
131,GROWN_UNDER,GROWS_UNDER_SOMETHING,GROWN_UNDER,14,4
100,PLANTED_AFTER,GROWS_AFTER,PLANTED_AFTER,14,4
262,WATERED_BY,WATERED_WITH,WATERED_WITH,14,7
192,CONTAINS,CONTAINS,CONTAINS,13,5
81,PLACED_ON,PLACED_AT,PLACED_IN,13,4
32,IS_REPLACED_BY,REPLACEMENT_RELATIONSHIP,IS_REPLACED_BY,10,4
2,PLANTING_DATE,PLANTING_DATE,HAS_PLANTING_DATE,10,7
299,GROWS_DURING,GROWS_DURING,GROWS_DURING,10,2
274,CROP_VARIETY,CROP_VARIETY_RELATIONSHIP,CROP_VARIETY,10,2
91,IS_TYPE_OF,INSTANCE_OF,IS_TYPE_OF,9,1
261,AFFECTED_BY_PEST,AFFECTED_BY_PEST,PEST_AFFECTED_BY,9,4
225,HAS_COMPONENT,HAS_COMPONENT,HAS_COMPONENT,9,5
1,REMOVED_FROM,REMOVED_AT_OR_AFTER_EVENT,REMOVED_FROM,9,6
97,REQUIRES_WATERING,REQUIRES_WATERING,REQUIRES_WATERING,9,7
14,PEST_AFFECTS_CROP,CONDITION_AFFECTS_CROP,PEST_AFFECTS_CROP,8,3
36,AVAILABLE_IN,AVAILABLE_IN_LOCATION,AVAILABLE_IN,8,2
166,PLANTED_DURING,PLANTED_OR_CULTIVATED_DURING,CULTIVATED_DURING,8,2
169,HAS_VARIETY,HAS_VARIETY_OR_SPECIES,HAS_VARIETY,8,3
13,PLANTED_IN_ROWS,PLANTED_IN_ARRANGEMENT,PLANTED_IN_ROWS,8,6
38,IS_PART_OF,PART_OF,IS_PART_OF,8,2
